alt,size,run,K,total_nodes,total_edges,candidate_cycles_2,candidate_cycles_3,candidate_cycles_total,selected_cycles_2,selected_cycles_3,selected_cycles_total,covered_nodes,uncovered_nodes,objective_value,cycle_search_timed_out,status
0.05,50,0,3,50,166,3,6,9,0,1,1,3,47,184.0,False,optimal
0.05,50,1,3,50,174,2,0,2,2,0,2,4,46,127.0,False,optimal
0.05,50,2,3,50,201,2,2,4,2,0,2,4,46,242.0,False,optimal
0.05,50,3,3,50,155,3,12,15,0,2,2,6,44,381.0,False,optimal
0.05,50,4,3,50,174,2,4,6,1,1,2,5,45,218.0,False,optimal
0.05,50,5,3,50,126,1,8,9,0,1,1,3,47,154.0,False,optimal
0.05,50,6,3,50,302,18,74,92,2,2,4,10,40,584.0,False,optimal
0.05,50,7,3,50,123,1,0,1,1,0,1,2,48,47.0,False,optimal
0.05,50,8,3,50,208,2,2,4,1,1,2,5,45,231.0,False,optimal
0.05,50,9,3,50,164,0,2,2,0,1,1,3,47,100.0,False,optimal
0.05,100,0,3,100,759,11,102,113,0,6,6,18,82,1080.0,False,optimal
0.05,100,1,3,100,905,12,100,112,4,9,13,35,65,2179.0,False,optimal
0.05,100,2,3,100,866,20,154,174,3,4,7,18,82,1029.0,False,optimal
0.05,100,3,3,100,1109,35,402,437,0,11,11,33,67,1913.0,False,optimal
0.05,100,4,3,100,1120,32,294,326,1,8,9,26,74,1521.0,False,optimal
0.05,100,5,3,100,838,9,38,47,3,4,7,18,82,1026.0,False,optimal
0.05,100,6,3,100,1028,20,246,266,3,5,8,21,79,1273.0,False,optimal
0.05,100,7,3,100,860,12,86,98,2,4,6,16,84,1001.0,False,optimal
0.05,100,8,3,100,1082,23,186,209,3,7,10,27,73,1529.0,False,optimal
0.05,100,9,3,100,686,17,108,125,1,5,6,17,83,1143.0,False,optimal
0.05,200,0,3,200,3266,43,446,489,2,22,24,70,130,3622.0,False,optimal
0.05,200,1,3,200,3577,77,1246,1323,8,19,27,73,127,3679.0,False,optimal
0.05,200,2,3,200,3307,82,1004,1086,5,16,21,58,142,3170.0,False,optimal
0.05,200,3,3,200,3015,34,184,218,5,11,16,43,157,2367.0,False,optimal
0.05,200,4,3,200,2727,36,280,316,4,13,17,47,153,2489.0,False,optimal
0.05,200,5,3,200,2375,36,474,510,5,11,16,43,157,2427.0,False,optimal
0.05,200,6,3,200,3856,83,1506,1589,2,24,26,76,124,4523.0,False,optimal
0.05,200,7,3,200,3111,74,1116,1190,7,16,23,62,138,3707.0,False,optimal
0.05,200,8,3,200,2831,48,480,528,8,12,20,52,148,2759.0,False,optimal
0.05,200,9,3,200,2788,37,350,387,8,13,21,55,145,2858.0,False,optimal
0.05,500,0,3,500,22546,479,18514,18993,8,70,78,226,274,13868.0,False,optimal
0.05,500,1,3,500,18932,317,10748,11065,15,65,80,225,275,13595.0,False,optimal
0.05,500,2,3,500,19123,436,15770,16206,11,64,75,214,286,13202.0,False,optimal
0.05,500,3,3,500,19378,247,7514,7761,6,64,70,204,296,12287.0,False,optimal
0.05,500,4,3,500,18359,399,15202,15601,6,69,75,219,281,13529.0,False,optimal
0.05,500,5,3,500,21213,616,26144,26760,11,73,84,241,259,15858.0,False,optimal
0.05,500,6,3,500,19325,349,12764,13113,11,67,78,223,277,13402.0,False,optimal
0.05,500,7,3,500,17776,231,5042,5273,10,62,72,206,294,12466.0,True,optimal
0.05,500,8,3,500,20505,342,4898,5240,10,54,64,182,318,11517.0,True,optimal
0.05,500,9,3,500,18589,299,1255,1554,40,27,67,161,339,9138.0,True,optimal
0.05,750,0,3,750,38735,648,337,985,91,6,97,200,550,12099.0,True,optimal
0.05,750,1,3,750,47765,987,24,1011,114,1,115,231,519,12893.0,True,optimal
0.05,750,2,3,750,41598,526,11344,11870,21,103,124,351,399,21242.0,True,optimal
0.05,750,3,3,750,41881,593,12448,13041,17,97,114,325,425,20354.0,True,optimal
0.05,750,4,3,750,44854,630,15908,16538,19,103,122,347,403,21232.0,True,optimal
0.05,750,5,3,750,44793,592,15490,16082,10,107,117,341,409,20884.0,True,optimal
0.05,750,6,3,750,46102,884,9487,10371,45,66,111,288,462,17474.0,True,optimal
0.05,750,7,3,750,46284,840,5553,6393,80,43,123,289,461,18130.0,True,optimal
0.05,750,8,3,750,40952,667,1233,1900,80,17,97,211,539,12453.0,True,optimal
0.05,750,9,3,750,43473,681,145,826,104,6,110,226,524,13251.0,True,optimal
0.05,1000,0,3,1000,75118,1482,30842,32324,43,128,171,470,530,28775.0,True,optimal
0.05,1000,1,3,1000,77095,1068,16801,17869,45,125,170,465,535,28083.0,True,optimal
0.05,1000,2,3,1000,81667,1344,33536,34880,48,127,175,477,523,30091.0,True,optimal
0.05,1000,3,3,1000,76230,1399,37237,38636,52,126,178,482,518,30126.0,True,optimal
0.05,1000,4,3,1000,77969,1184,27075,28259,51,128,179,486,514,30271.0,True,optimal
0.05,1000,5,3,1000,74779,1249,32148,33397,44,135,179,493,507,31468.0,True,optimal
0.05,1000,6,3,1000,77214,1000,22321,23321,36,129,165,459,541,28451.0,True,optimal
0.05,1000,7,3,1000,75444,1450,28903,30353,52,131,183,497,503,30480.0,True,optimal
0.05,1000,8,3,1000,78861,1319,24374,25693,50,121,171,463,537,29705.0,True,optimal
0.05,1000,9,3,1000,71493,996,16714,17710,52,111,163,437,563,27262.0,True,optimal
0.1,1000,0,3,1000,81663,1365,195,1560,172,2,174,350,650,20217.0,True,optimal
